region,year,mig_total,mig_youth,pop_total,pop_youth,총_순이동률,청년_순이동률,bdg_관광,bdg_농업,bdg_일자리,bdg_복지,bdg_정주여건,bdg_기타,ep_관광,ep_농업,ep_일자리,ep_복지,ep_정주여건,ep_기타,treated,재정자립도,고령인구,고령화율,사업체수,log사업체수,행정유형,행정유형2,ep_A_청년정착,ep_B_생산유통,ep_C_어메니티,유형
경남남해군,2022,57.0,-319.0,41579.0,5056.0,0.1370884340652733,-6.309335443037975,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.95,16712.0,40.19336684383944,1709.0,7.443663683115591,군,군,0.0,0.0,0.0,소형농촌형
경남남해군,2023,-126.0,-309.0,40780.0,4748.0,-0.3089749877390878,-6.508003369839932,134.82,0.0,0.0,0.0,0.0,0.0,10.4125,0.0,0.0,0.0,0.0,0.0,1,8.93,16889.0,41.414909269249634,1793.0,7.491645473605133,군,군,0.0,0.0,0.0,소형농촌형
경남남해군,2024,-269.0,-424.0,39832.0,4354.0,-0.6753364129343241,-9.73817179604961,93.3887,0.0,0.0,0.0,0.0,0.0,45.8938,0.0,0.0,0.0,0.0,0.0,1,9.25,17045.0,42.792227354890535,1718.0,7.4489161025442,군,군,0.0,0.0,0.0,소형농촌형
경남밀양시,2019,-553.0,-820.0,105552.0,18874.0,-0.5239123844171593,-4.344601038465614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.36,28549.0,27.047332120660904,3656.0,8.204124932574041,시,시,0.0,0.0,0.0,대형도시형
경남밀양시,2020,83.0,-712.0,104831.0,18121.0,0.0791750531808339,-3.929142983279069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.68,29887.0,28.509696559223897,3360.0,8.11969625295725,시,시,0.0,0.0,0.0,대형도시형
경남밀양시,2021,-155.0,-825.0,103525.0,17017.0,-0.1497222893021009,-4.848093083387202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.02,31006.0,29.95025356194156,3540.0,8.17188200612782,시,시,0.0,0.0,0.0,대형도시형
경남밀양시,2022,553.0,-431.0,102945.0,16221.0,0.5371800475982321,-2.6570495037297333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.0,32434.0,31.50614405750644,3696.0,8.215006432761575,시,시,0.0,0.0,0.0,대형도시형
경남밀양시,2023,138.0,-453.0,102084.0,15442.0,0.1351827906429999,-2.933557829296724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.79,33742.0,33.05317189765291,3724.0,8.222553638396958,시,시,0.0,0.0,0.0,대형도시형
경남밀양시,2024,-226.0,-490.0,100691.0,14721.0,-0.2244490570160193,-3.328578221588208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.02,35004.0,34.76378226455195,3743.0,8.22764270790443,시,시,0.0,0.0,0.0,대형도시형
경남사천시,2019,-1504.0,-857.0,111925.0,23777.0,-1.3437569801206166,-3.604323505909072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.99,23428.0,20.93187402278312,4841.0,8.484876589939695,시,시,0.0,0.0,0.0,대형도시형
경남사천시,2020,-366.0,-659.0,111105.0,22660.0,-0.3294181179964898,-2.908208296557812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.52,24604.0,22.144817964988075,3941.0,8.279189777195004,시,시,0.0,0.0,0.0,대형도시형
